DATE,pghunemp,pghcivlabforce,pghavghourearn,pghpermits,pghempmanuf
2014-10-01,4.9,156417,23.95,377.77353646843700,88.51215602897260
2014-11-01,4.9,156494,24.04,314.98516102293400,88.48824326373860
2014-12-01,5.0,156332,23.81,313.26305167047300,88.59644140206600
2015-01-01,6.0,157030,23.77,89.49359725609810,88.56917761819760
2015-02-01,5.9,156644,24.07,294.22438452618700,88.52597536459200
2015-03-01,5.7,156643,24.17,79.05758604115630,88.48762271198120
2015-04-01,4.8,157060,24.11,471.34955273564200,88.44975512112220
2015-05-01,5.4,157651,24.05,338.35518216739000,88.25124127161700
2015-06-01,5.5,157062,23.83,199.11072232214400,88.22874582235860
2015-07-01,5.8,156997,23.96,123.85409306891100,88.04929176915500
2015-08-01,5.5,157172,24.00,116.78214559850800,87.80005356151060
2015-09-01,5.1,156733,24.08,109.77038932559500,87.61405407077030
2015-10-01,5.0,157167,24.07,106.46679653580300,86.37716948177790
2015-11-01,5.0,157463,24.04,103.93168407621300,86.24840329415870
2015-12-01,5.0,158035,23.84,138.19577143108600,85.91989038719370
2016-01-01,5.9,158280,24.13,125.01301095699700,85.83265400842960
2016-02-01,6.0,158640,24.08,118.83379617196600,85.68421951911440
2016-03-01,5.9,159179,23.89,171.41176823400900,86.23125294172660
2016-04-01,5.2,159141,23.73,124.25450011159200,85.93811988731170
2016-05-01,5.4,158784,23.85,113.80021298594500,85.99910043502790
2016-06-01,5.8,158967,23.55,125.90118169764400,85.84340931864640
2016-07-01,6.0,159194,23.69,112.07835562303000,86.03864337408350
2016-08-01,5.9,159562,23.70,137.67245986067200,85.81243896499250
2016-09-01,5.4,159714,23.95,221.01732420450500,85.68044681915330
2016-10-01,5.2,159605,24.32,134.39619725123200,85.63902148913760
2016-11-01,5.0,159506,24.31,168.16134371413900,85.48483914547080
2016-12-01,5.1,159678,24.49,130.43935272940300,85.59728907788870
2017-01-01,6.0,159620,24.74,83.48440905899970,85.79637245661420
2017-02-01,6.1,159859,24.87,171.83011724126700,86.01527981719980
2017-03-01,5.6,160137,24.80,471.99596541104900,85.58316017601620
2017-04-01,4.7,160345,25.18,128.12351708702300,85.56678546286680
2017-05-01,4.8,160068,24.87,182.93488990376300,85.48492125842170
2017-06-01,5.3,160192,24.96,109.94138629363000,85.45380998072330
2017-07-01,5.5,160462,25.34,107.02767274122700,85.45904164800780
2017-08-01,5.4,160586,25.16,117.89918339334100,85.56190195527390
2017-09-01,4.6,161140,25.47,114.88010045167500,85.70849984093060
2017-10-01,4.4,160309,25.76,134.08261493529200,85.88245067427830
2017-11-01,4.5,160579,25.41,114.50824632226100,85.87004290769480
2017-12-01,4.5,160535,25.88,135.83990015847500,86.13282254305930
2018-01-01,5.4,160998,26.20,133.32619797329100,86.07811239142820
2018-02-01,5.4,161846,26.01,129.66647960685100,86.13430817366120
2018-03-01,4.8,161760,25.80,123.00677639040000,86.23950502259260
2018-04-01,4.1,161809,26.11,106.26805700637500,86.23740826027100
2018-05-01,4.0,161882,25.99,139.19092319556700,86.42050086705550
2018-06-01,4.7,162180,25.99,122.35062002140600,86.69198405981890
2018-07-01,4.8,162288,26.64,163.19602525661000,86.78336958622990
2018-08-01,4.6,161679,26.32,187.69931075061500,87.20896058098760
2018-09-01,3.9,162035,27.32,135.89874703031000,87.10127218149530
2018-10-01,3.8,162525,26.99,130.34861868692900,87.19464895524850
2018-11-01,3.7,162738,27.21,130.85007294852700,87.41874582993490
2018-12-01,4.0,163146,27.89,112.65724519854200,87.36533523626640
2019-01-01,5.0,163072,27.60,110.49298310134300,87.35428407692050
2019-02-01,4.9,163114,27.43,120.55946409847300,87.44636656423070
2019-03-01,4.7,163035,27.22,114.98754667743100,87.61476309068780
2019-04-01,3.7,162642,27.58,125.02543896103100,87.71219266424940
2019-05-01,4.0,162803,27.34,121.78887503533500,87.81703179034900
2019-06-01,4.5,163029,27.49,144.96155472360200,87.46665586588140
2019-07-01,5.0,163472,27.32,135.94685702124600,87.18242724980780
2019-08-01,4.8,163774,27.06,138.66823531685300,86.76672310867290
2019-09-01,4.1,164015,27.41,135.04990078271800,86.57081143232750
2019-10-01,4.1,164336,27.36,174.22350540298500,86.15553970717120
2019-11-01,4.1,164434,27.22,147.84471355212400,86.07053927524840
2019-12-01,4.3,164633,27.45,143.36836051808100,85.90657210986420
2020-01-01,5.2,164479,27.21,538.20537514367700,85.90155593488450
2020-02-01,5.2,164583,27.21,132.41541777376900,85.84242868203720
2020-03-01,6.0,162764,27.02,116.18120830165400,85.70160309779140
2020-04-01,16.1,156358,27.37,42.94806343003190,76.19400267617710
2020-05-01,13.5,158122,27.11,111.50751007240500,78.75432627751380
2020-06-01,11.5,159834,26.46,135.68075427182700,79.69086013209480
2020-07-01,11.8,160015,26.38,180.39501338825200,78.90614145616580
2020-08-01,9.6,160707,26.98,136.94591693799800,78.98367999228200
2020-09-01,8.7,160153,26.79,195.32079488437500,79.24293095665620
2020-10-01,7.6,160834,26.83,160.91658757110400,79.55955984278970
